Date,Open,High,Low,Close,Adj Close,Volume
2020-12-17,118.720001,119.529999,117.959999,119.529999,119.529999,47500
2020-12-18,120.230003,120.820000,118.730003,118.989998,118.989998,45500
2020-12-21,117.309998,119.050003,116.709999,118.900002,118.900002,35300
2020-12-22,119.959999,120.519997,119.269997,120.250000,120.250000,22200
2020-12-23,120.949997,121.860001,120.639999,121.660004,121.660004,47800
2020-12-24,122.580002,122.580002,120.790001,120.930000,120.930000,17500
2020-12-28,122.440002,122.570000,120.330002,120.459999,120.459999,43900
2020-12-29,120.290001,121.029999,116.529999,117.320000,117.320000,40500
2020-12-30,118.250000,119.559998,118.250000,119.120003,119.120003,20400
2020-12-31,119.139999,119.510002,118.489998,118.650002,118.650002,14800
2021-01-04,119.300003,120.250000,116.480003,117.959999,117.959999,60300
2021-01-05,117.500000,120.839996,117.500000,120.019997,120.019997,31100
2021-01-06,120.860001,126.650002,120.860001,124.580002,124.580002,48200
2021-01-07,126.139999,127.790001,125.750000,127.489998,127.489998,115800
2021-01-08,128.699997,128.699997,124.559998,126.459999,126.459999,65400
2021-01-11,124.800003,127.279999,124.800003,126.550003,126.550003,29700
2021-01-12,127.550003,129.779999,127.300003,129.779999,129.779999,43400
2021-01-13,130.639999,130.639999,128.710007,128.919998,128.919998,77200
2021-01-14,129.860001,133.289993,129.860001,132.639999,132.639999,77700
2021-01-15,131.850006,131.949997,129.020004,130.789993,130.789993,50700
2021-01-19,133.009995,133.600006,132.050003,133.600006,133.600006,79500
2021-01-20,134.520004,135.369995,133.089996,134.059998,134.059998,56700
2021-01-21,134.429993,134.559998,131.979996,133.000000,133.000000,63900
2021-01-22,131.470001,135.619995,131.169998,135.449997,135.449997,33400
2021-01-25,136.000000,138.949997,133.139999,136.300003,136.300003,50800
2021-01-26,137.759995,137.949997,135.899994,137.039993,137.039993,57400
2021-01-27,137.050003,140.279999,134.899994,137.529999,137.529999,157200
2021-01-28,137.460007,140.779999,132.389999,134.490005,134.490005,251100
2021-01-29,138.139999,139.289993,133.800003,135.259995,135.259995,109100
2021-02-01,137.289993,138.389999,134.300003,138.229996,138.229996,170800
2021-02-02,139.309998,139.309998,135.410004,138.270004,138.270004,86200
2021-02-03,139.539993,140.660004,138.229996,140.220001,140.220001,59400
2021-02-04,141.839996,143.529999,141.289993,143.190002,143.190002,94300
2021-02-05,145.460007,146.169998,143.570007,146.110001,146.110001,95500
2021-02-08,148.880005,152.100006,148.339996,152.080002,152.080002,230200
2021-02-09,152.429993,154.539993,151.699997,153.470001,153.470001,198200
2021-02-10,154.789993,154.789993,149.199997,151.360001,151.360001,291300
2021-02-11,152.179993,153.149994,148.250000,150.729996,150.729996,157800
2021-02-12,150.000000,152.570007,149.240005,151.740005,151.740005,314000
2021-02-16,154.089996,154.460007,150.449997,151.860001,151.860001,128100
2021-02-17,151.179993,151.210007,147.600006,150.779999,150.779999,247500
2021-02-18,148.509995,149.300003,145.949997,146.800003,146.800003,116600
2021-02-19,148.399994,151.990005,148.399994,150.779999,150.779999,111800
2021-02-22,150.089996,151.690002,148.770004,149.179993,149.179993,93800
2021-02-23,145.910004,146.080002,139.779999,145.520004,145.520004,209300
2021-02-24,145.520004,150.039993,145.520004,149.880005,149.880005,94800
2021-02-25,151.639999,151.770004,144.539993,144.759995,144.759995,150600
2021-02-26,145.550003,146.449997,141.229996,143.610001,143.610001,72300
2021-03-01,147.839996,150.539993,147.160004,150.440002,150.440002,133000
2021-03-02,151.000000,151.250000,148.199997,148.330002,148.330002,226400
2021-03-03,148.449997,149.990005,145.770004,146.449997,146.449997,130700
2021-03-04,145.710007,147.100006,137.550003,140.830002,140.830002,187300
2021-03-05,142.509995,143.259995,134.589996,143.089996,143.089996,170400
2021-03-08,144.770004,147.240005,143.009995,145.020004,145.020004,226700
2021-03-09,147.839996,151.720001,147.509995,150.679993,150.679993,179300
2021-03-10,153.020004,155.809998,151.399994,153.869995,153.869995,265400
2021-03-11,155.490005,157.529999,154.550003,157.440002,157.440002,251700
2021-03-12,157.289993,158.649994,155.820007,158.509995,158.509995,101200
2021-03-15,159.270004,159.559998,157.089996,158.419998,158.419998,264000
2021-03-16,158.279999,158.279999,153.869995,155.399994,155.399994,107400
2021-03-17,154.699997,157.529999,153.070007,157.160004,157.160004,47500
2021-03-18,155.509995,157.930206,151.869995,152.600006,152.600006,117600
